employee_id,emp_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_name,department_id,country_id
100,"Steven King",sking@oriondata.com,515-123-4567,6/17/1987,AD_PRES,24000,0,"Anthony Rodriguez",90,CH
101,"Neena Kochhar",nkochhar@oriondata.com,515-123-4568,6/18/1987,AD_VP,17000,0,"Anthony Rodriguez",90,JP
102,"Lex De Haan",ldehaan@oriondata.com,515-123-4569,6/19/1987,AD_VP,17000,0,"Anthony Rodriguez",90,EG
103,"Alexander Hunold",ahunold@oriondata.com,590-423-4567,6/20/1987,IT_PROG,9000,0,"Cynthia Morrison",60,ZW
104,"Bruce Ernst",bernst@oriondata.com,590-423-4568,6/21/1987,IT_PROG,6000,0,"Cynthia Morrison",60,AU
105,"David Austin",daustin@oriondata.com,590-423-4569,6/22/1987,IT_PROG,4800,0,"Cynthia Morrison",60,CH
106,"Valli Pataballa",vpatabal@oriondata.com,590-423-4560,6/23/1987,IT_PROG,4800,0,"Cynthia Morrison",60,US
107,"Diana Lorentz",dlorentz@oriondata.com,590-423-5567,6/24/1987,IT_PROG,4200,0,"Cynthia Morrison",60,IN
108,"Nancy Greenberg",ngreenbe@oriondata.com,515-124-4569,6/25/1987,FI_MGR,12000,0,"David Jacobs",100,HK
109,"Daniel Faviet",dfaviet@oriondata.com,515-124-4169,6/26/1987,FI_ACCOUNT,9000,0,"David Jacobs",100,IT
110,"John Chen",jchen@oriondata.com,515-124-4269,6/27/1987,FI_ACCOUNT,8200,0,"David Jacobs",100,CA
111,"Ismael Sciarra",isciarra@oriondata.com,515-124-4369,6/28/1987,FI_ACCOUNT,7700,0,"David Jacobs",100,CH
112,"Jose Manuel Urman",jmurman@oriondata.com,515-124-4469,6/29/1987,FI_ACCOUNT,7800,0,"David Jacobs",100,DE
113,"Luis Popp",lpopp@oriondata.com,515-124-4567,6/30/1987,FI_ACCOUNT,6900,0,"David Jacobs",100,CH
114,"Den Raphaely",drapheal@oriondata.com,515-127-4561,7/1/1987,PU_MAN,11000,0,"Rebecca Chen",30,CN
115,"Alexander Khoo",akhoo@oriondata.com,515-127-4562,7/2/1987,PU_CLERK,3100,0,"Rebecca Chen",30,DE
116,"Shelli Baida",sbaida@oriondata.com,515-127-4563,7/3/1987,PU_CLERK,2900,0,"Rebecca Chen",30,US
117,"Sigal Tobias",stobias@oriondata.com,515-127-4564,7/4/1987,PU_CLERK,2800,0,"Rebecca Chen",30,MX
118,"Guy Himuro",ghimuro@oriondata.com,515-127-4565,7/5/1987,PU_CLERK,2600,0,"Rebecca Chen",30,DE
119,"Karen Colmenares",kcolmena@oriondata.com,515-127-4566,7/6/1987,PU_CLERK,2500,0,"Rebecca Chen",30,JP
120,"Matthew Weiss",mweiss@oriondata.com,650-123-1234,7/7/1987,ST_MAN,8000,0,"Michael Johnson",50,KW
121,"Adam Fripp",afripp@oriondata.com,650-123-2234,7/8/1987,ST_MAN,8200,0,"Michael Johnson",50,IN
122,"Payam Kaufling",pkauflin@oriondata.com,650-123-3234,7/9/1987,ST_MAN,7900,0,"Michael Johnson",50,IN
123,"Shanta Vollman",svollman@oriondata.com,650-123-4234,7/10/1987,ST_MAN,6500,0,"Michael Johnson",50,IN
124,"Kevin Mourgos",kmourgos@oriondata.com,650-123-5234,7/11/1987,ST_MAN,5800,0,"Michael Johnson",50,CN
125,"Julia Nayer",jnayer@oriondata.com,650-124-1214,7/12/1987,ST_CLERK,3200,0,"Michael Johnson",50,KW
126,"Irene Mikkilineni",imikkili@oriondata.com,650-124-1224,7/13/1987,ST_CLERK,2700,0,"Michael Johnson",50,MX
127,"James Landry",jlandry@oriondata.com,650-124-1334,7/14/1987,ST_CLERK,2400,0,"Michael Johnson",50,CH
128,"Steven Markle",smarkle@oriondata.com,650-124-1434,7/15/1987,ST_CLERK,2200,0,"Michael Johnson",50,UK
129,"Laura Bissot",lbissot@oriondata.com,650-124-5234,7/16/1987,ST_CLERK,3300,0,"Michael Johnson",50,MX
130,"Mozhe Atkinson",matkinso@oriondata.com,650-124-6234,7/17/1987,ST_CLERK,2800,0,"Michael Johnson",50,MX
131,"James Marlow",jamrlow@oriondata.com,650-124-7234,7/18/1987,ST_CLERK,2500,0,"Michael Johnson",50,IT
132,"TJ Olson",tjolson@oriondata.com,650-124-8234,7/19/1987,ST_CLERK,2100,0,"Michael Johnson",50,CH
133,"Jason Mallin",jmallin@oriondata.com,650-127-1934,7/20/1987,ST_CLERK,3300,0,"Michael Johnson",50,IN
134,"Michael Rogers",mrogers@oriondata.com,650-127-1834,7/21/1987,ST_CLERK,2900,0,"Michael Johnson",50,AU
135,"Ki Gee",kgee@oriondata.com,650-127-1734,7/22/1987,ST_CLERK,2400,0,"Michael Johnson",50,CN
136,"Hazel Philtanker",hphiltan@oriondata.com,650-127-1634,7/23/1987,ST_CLERK,2200,0,"Michael Johnson",50,SG
137,"Renske Ladwig",rladwig@oriondata.com,650-121-1234,7/24/1987,ST_CLERK,3600,0,"Michael Johnson",50,SG
138,"Stephen Stiles",sstiles@oriondata.com,650-121-2034,7/25/1987,ST_CLERK,3200,0,"Michael Johnson",50,EG
139,"John Seo",jseo@oriondata.com,650-121-2019,7/26/1987,ST_CLERK,2700,0,"Michael Johnson",50,IN
140,"Joshua Patel",jpatel@oriondata.com,650-121-1834,7/27/1987,ST_CLERK,2500,0,"Michael Johnson",50,FR
141,"Trenna Rajs",trajs@oriondata.com,650-121-8009,7/28/1987,ST_CLERK,3500,0,"Michael Johnson",50,DK
142,"Curtis Davies",cdavies@oriondata.com,650-121-2994,7/29/1987,ST_CLERK,3100,0,"Michael Johnson",50,HK
